,Alistar,Annie,Bard,Blitzcrank,Brand,Braum,Janna,Karma,Leona,Lulu,Lux,Morgana,Nami,Nautilus,Sona,Soraka,TahmKench,Taric,Thresh,Velkoz,Zilean,Zyra
Alistar,,0.102,0.009,0.014,0.004,0.010,-0.040,-0.002,-0.012,0.019,0.016,-0.031,-0.010,0.037,-0.029,-0.017,0.012,-0.032,0.010,-0.078,0.000,0.024
Annie,-0.036,,0.069,-0.008,-0.007,-0.013,-0.019,-0.033,-0.001,0.077,0.016,0.005,-0.028,-0.025,-0.026,-0.075,-0.015,0.083,0.032,-0.010,0.002,0.022
Bard,0.058,0.003,,-0.017,-0.007,0.030,0.004,-0.006,-0.002,0.020,0.085,0.040,-0.003,0.032,-0.030,-0.055,-0.026,-0.042,0.017,-0.035,-0.040,-0.024
Blitzcrank,-0.001,0.026,0.037,,-0.035,-0.040,-0.036,0.030,-0.020,0.029,0.031,0.018,-0.006,0.004,0.008,-0.042,0.017,-0.025,0.005,0.011,-0.015,0.010
Brand,0.009,0.024,0.026,0.001,,0.016,-0.026,-0.010,-0.004,0.001,0.000,-0.001,-0.037,0.016,-0.004,0.010,0.131,-0.015,0.007,-0.056,-0.056,-0.034
Braum,0.024,0.052,0.011,0.028,-0.030,,-0.018,0.023,-0.012,-0.023,0.051,-0.036,-0.037,0.044,0.003,-0.038,0.034,0.035,0.010,-0.049,-0.066,-0.013
Janna,0.043,0.027,0.007,-0.008,-0.019,-0.005,,0.010,-0.017,0.014,0.052,0.025,-0.014,0.011,-0.024,-0.033,0.006,-0.042,0.016,0.007,-0.043,-0.022
Karma,0.035,0.071,0.046,-0.044,-0.005,-0.015,-0.034,,-0.025,-0.007,0.034,0.018,-0.027,-0.024,-0.039,-0.026,0.010,-0.019,0.005,0.019,0.012,0.008
Leona,0.026,0.020,0.023,-0.013,-0.029,0.000,-0.026,0.012,,-0.013,0.029,-0.033,-0.007,0.012,-0.024,-0.032,0.046,-0.012,0.010,-0.044,0.032,0.029
Lulu,0.023,-0.030,0.029,-0.034,-0.007,0.039,-0.029,0.022,0.009,,0.008,0.023,-0.015,0.014,0.019,-0.052,0.040,-0.005,0.018,-0.032,0.012,-0.048
Lux,0.043,0.048,-0.019,-0.019,0.011,-0.018,-0.050,-0.002,-0.015,0.033,,0.013,-0.053,0.011,-0.009,0.022,0.012,-0.010,0.024,0.014,-0.054,0.016
Morgana,0.064,0.033,0.000,-0.032,-0.014,0.043,-0.049,-0.011,0.020,-0.007,0.019,,-0.018,0.039,-0.033,-0.044,0.023,-0.053,0.026,0.007,0.022,-0.031
Nami,0.020,0.043,0.020,-0.031,-0.001,0.021,-0.033,0.010,-0.029,0.007,0.062,0.001,,-0.031,-0.028,-0.015,0.042,-0.049,0.003,0.007,-0.018,-0.006
Nautilus,0.007,0.074,0.019,-0.007,-0.020,-0.026,-0.024,0.042,-0.014,0.012,0.032,-0.022,0.026,,-0.014,-0.027,0.058,-0.081,0.030,-0.031,-0.040,0.012
Sona,0.034,0.037,0.042,-0.050,-0.039,-0.024,-0.028,0.017,-0.017,-0.031,0.013,0.011,-0.016,0.003,,0.014,0.043,0.008,0.017,0.015,-0.009,-0.044
Soraka,0.021,0.084,0.067,-0.001,-0.054,0.017,-0.019,0.003,-0.010,0.038,-0.019,0.021,-0.031,0.016,-0.065,,0.044,-0.029,-0.005,0.002,-0.076,-0.010
TahmKench,0.054,0.086,0.099,0.003,-0.113,0.006,0.003,0.029,-0.026,0.008,0.053,0.017,-0.026,-0.008,-0.032,-0.034,,-0.067,0.006,-0.094,0.011,0.025
Taric,0.043,-0.068,0.059,-0.012,-0.023,-0.050,-0.005,0.002,-0.024,-0.003,0.019,0.036,0.009,0.075,-0.053,-0.017,0.083,,0.004,-0.055,0.009,-0.038
Thresh,0.034,0.017,0.034,-0.008,-0.011,0.008,-0.029,0.012,-0.012,0.008,0.020,-0.009,-0.009,-0.002,-0.028,-0.007,0.044,-0.010,,0.000,-0.009,-0.036
Velkoz,0.087,0.025,0.051,-0.049,0.018,0.032,-0.055,-0.037,0.007,0.023,-0.006,-0.025,-0.048,0.025,-0.061,-0.049,0.109,0.014,-0.007,,-0.061,0.014
Zilean,0.011,0.014,0.058,-0.021,0.019,0.051,-0.003,-0.028,-0.067,-0.019,0.064,-0.038,-0.021,0.035,-0.035,0.031,0.006,-0.048,0.004,0.022,,-0.027
Zyra,-0.003,0.004,0.052,-0.036,0.007,0.008,-0.014,-0.014,-0.054,0.051,0.004,0.025,-0.023,-0.006,0.010,-0.025,0.002,0.009,0.041,-0.044,-0.001
