,Alistar-r,Annie-r,Bard-r,Blitzcrank-r,Brand-r,Braum-r,Janna-r,Karma-r,Leona-r,Lulu-r,Lux-r,Morgana-r,Nami-r,Nautilus-r,Sona-r,Soraka-r,TahmKench-r,Taric-r,Thresh-r,Velkoz-r,Zilean-r,Zyra-r
Alistar,0,2.969,0.254,0.400,0.108,0.284,-1.176,-0.067,-0.359,0.546,0.459,-0.913,-0.300,1.072,-0.855,-0.505,0.342,-0.942,0.284,-2.285,-0.008,0.692
Annie,-0.958,0,1.800,-0.223,-0.196,-0.354,-0.512,-0.879,-0.039,2.010,0.408,0.119,-0.748,-0.669,-0.696,-1.983,-0.407,2.168,0.828,-0.275,0.040,0.565
Bard,1.679,0.084,0,-0.496,-0.206,0.867,0.113,-0.177,-0.061,0.577,2.462,1.157,-0.090,0.925,-0.873,-1.597,-0.757,-1.221,0.490,-1.018,-1.163,-0.699
Blitzcrank,-0.052,1.039,1.484,0,-1.426,-1.628,-1.467,1.201,-0.820,1.161,1.241,0.716,-0.254,0.150,0.312,-1.709,0.676,-1.022,0.191,0.433,-0.618,0.393
Brand,0.245,0.649,0.702,0.029,0,0.433,-0.697,-0.267,-0.105,0.029,0.003,-0.024,-0.993,0.433,-0.105,0.272,3.528,-0.401,0.191,-1.505,-1.505,-0.913
Braum,0.710,1.527,0.331,0.827,-0.866,0,-0.515,0.681,-0.340,-0.661,1.498,-1.041,-1.070,1.293,0.097,-1.099,1.002,1.031,0.301,-1.420,-1.916,-0.370
Janna,1.719,1.086,0.294,-0.300,-0.735,-0.181,0,0.413,-0.656,0.571,2.075,1.006,-0.537,0.452,-0.933,-1.289,0.254,-1.645,0.650,0.294,-1.685,-0.854
Karma,1.193,2.408,1.564,-1.474,-0.158,-0.495,-1.136,0,-0.833,-0.225,1.159,0.619,-0.900,-0.799,-1.305,-0.866,0.349,-0.630,0.180,0.653,0.416,0.281
Leona,1.015,0.778,0.896,-0.524,-1.156,-0.011,-1.037,0.462,0,-0.524,1.133,-1.313,-0.287,0.462,-0.958,-1.274,1.804,-0.485,0.383,-1.748,1.251,1.133
Lulu,0.829,-1.097,1.047,-1.243,-0.261,1.410,-1.061,0.793,0.320,0,0.284,0.829,-0.552,0.502,0.684,-1.897,1.447,-0.189,0.647,-1.170,0.429,-1.751
Lux,1.515,1.691,-0.665,-0.665,0.390,-0.629,-1.755,-0.067,-0.524,1.164,0,0.460,-1.860,0.390,-0.313,0.777,0.425,-0.348,0.847,0.496,-1.895,0.566
Morgana,1.973,1.015,-0.006,-0.995,-0.439,1.324,-1.521,-0.346,0.613,-0.222,0.582,0,-0.562,1.200,-1.026,-1.366,0.705,-1.645,0.798,0.211,0.674,-0.964
Nami,0.721,1.541,0.721,-1.097,-0.027,0.757,-1.168,0.365,-1.025,0.258,2.218,0.044,0,-1.097,-0.990,-0.526,1.506,-1.738,0.115,0.258,-0.633,-0.205
Nautilus,0.190,2.082,0.529,-0.206,-0.573,-0.742,-0.686,1.178,-0.403,0.331,0.896,-0.629,0.726,0,-0.403,-0.771,1.630,-2.296,0.839,-0.884,-1.138,0.331
Sona,1.223,1.331,1.510,-1.782,-1.389,-0.852,-0.995,0.615,-0.601,-1.102,0.472,0.400,-0.566,0.114,0,0.508,1.545,0.293,0.615,0.544,-0.315,-1.568
Soraka,0.545,2.158,1.723,-0.018,-1.375,0.443,-0.479,0.084,-0.249,0.980,-0.479,0.545,-0.786,0.417,-1.657,0,1.134,-0.735,-0.121,0.059,-1.939,-0.249
TahmKench,1.059,1.686,1.941,0.059,-2.215,0.118,0.059,0.569,-0.510,0.157,1.039,0.333,-0.510,-0.157,-0.627,-0.667,0,-1.313,0.118,-1.843,0.216,0.490
Taric,1.054,-1.640,1.442,-0.281,-0.548,-1.203,-0.111,0.059,-0.572,-0.062,0.472,0.884,0.229,1.831,-1.276,-0.402,2.025,0,0.107,-1.324,0.229,-0.912
Thresh,1.640,0.812,1.640,-0.406,-0.552,0.373,-1.429,0.568,-0.601,0.373,0.958,-0.455,-0.455,-0.114,-1.380,-0.357,2.127,-0.503,0,-0.016,-0.455,-1.770
Velkoz,1.867,0.531,1.091,-1.063,0.381,0.682,-1.192,-0.804,0.144,0.488,-0.136,-0.546,-1.041,0.531,-1.321,-1.063,2.340,0.294,-0.158,0,-1.321,0.294
Zilean,0.304,0.389,1.648,-0.611,0.532,1.447,-0.097,-0.812,-1.927,-0.554,1.819,-1.097,-0.611,0.990,-1.012,0.876,0.161,-1.383,0.103,0.618,0,-0.783
Zyra,-0.098,0.159,1.915,-1.305,0.268,0.305,-0.500,-0.500,-1.964,1.879,0.159,0.927,-0.830,-0.207,0.378,-0.903,0.085,0.342,1.513,-1.598,-0.024,0
