,Alistar,Annie,Bard,Blitzcrank,Brand,Braum,Janna,Karma,Leona,Lulu,Lux,Morgana,Nami,Nautilus,Sona,Soraka,TahmKench,Taric,Thresh,Velkoz,Zilean,Zyra
Alistar,0.833,2.948,0.216,0.363,0.069,0.246,-1.223,-0.107,-0.401,0.510,0.422,-0.959,-0.342,1.039,-0.900,-0.547,0.304,-0.988,0.246,-2.340,-0.048,0.657
Annie,-1.004,0.870,1.768,-0.265,-0.239,-0.397,-0.556,-0.925,-0.080,1.979,0.368,0.078,-0.793,-0.714,-0.740,-2.034,-0.450,2.137,0.791,-0.318,-0.001,0.527
Bard,1.627,0.036,1.019,-0.543,-0.254,0.817,0.064,-0.225,-0.109,0.527,2.408,1.106,-0.138,0.875,-0.919,-1.643,-0.804,-1.266,0.441,-1.064,-1.209,-0.746
Blitzcrank,-0.020,1.084,1.534,-0.675,-1.412,-1.616,-1.453,1.248,-0.798,1.207,1.289,0.757,-0.225,0.184,0.348,-1.698,0.716,-1.002,0.225,0.471,-0.593,0.430
Brand,0.272,0.683,0.737,0.052,-0.468,0.463,-0.688,-0.249,-0.085,0.052,0.025,-0.002,-0.989,0.463,-0.085,0.299,3.615,-0.386,0.217,-1.510,-1.510,-0.907
Braum,0.721,1.556,0.332,0.840,-0.891,0.123,-0.533,0.691,-0.354,-0.683,1.526,-1.071,-1.100,1.318,0.094,-1.130,1.019,1.049,0.303,-1.459,-1.966,-0.384
Janna,1.764,1.132,0.341,-0.252,-0.686,-0.133,-1.003,0.460,-0.607,0.618,2.120,1.053,-0.489,0.499,-0.884,-1.240,0.302,-1.595,0.697,0.341,-1.635,-0.805
Karma,1.215,2.458,1.595,-1.513,-0.166,-0.512,-1.168,0.110,-0.857,-0.235,1.181,0.628,-0.926,-0.823,-1.341,-0.892,0.352,-0.650,0.179,0.662,0.421,0.283
Leona,1.059,0.818,0.939,-0.502,-1.142,0.018,-1.022,0.498,-0.622,-0.502,1.179,-1.302,-0.262,0.498,-0.942,-1.262,1.859,-0.462,0.418,-1.742,1.299,1.179
Lulu,0.825,-1.138,1.047,-1.286,-0.286,1.418,-1.101,0.788,0.306,0.418,0.269,0.825,-0.583,0.492,0.677,-1.953,1.455,-0.212,0.640,-1.212,0.418,-1.805
Lux,1.469,1.644,-0.711,-0.711,0.344,-0.676,-1.801,-0.113,-0.571,1.117,0.976,0.414,-1.907,0.344,-0.360,0.730,0.379,-0.395,0.801,0.449,-1.942,0.519
Morgana,2.015,1.034,-0.010,-1.023,-0.453,1.351,-1.561,-0.358,0.623,-0.232,0.591,0.085,-0.580,1.224,-1.054,-1.402,0.718,-1.687,0.813,0.211,0.686,-0.991
Nami,0.763,1.592,0.763,-1.077,0.005,0.799,-1.150,0.402,-1.005,0.294,2.278,0.077,-0.681,-1.077,-0.969,-0.500,1.556,-1.727,0.149,0.294,-0.608,-0.175
Nautilus,0.175,2.106,0.521,-0.228,-0.602,-0.775,-0.718,1.184,-0.430,0.320,0.896,-0.660,0.723,0.377,-0.430,-0.804,1.645,-2.360,0.838,-0.919,-1.179,0.320
Sona,1.271,1.379,1.559,-1.752,-1.356,-0.816,-0.960,0.659,-0.564,-1.068,0.515,0.443,-0.528,0.155,-0.852,0.551,1.595,0.335,0.659,0.587,-0.276,-1.536
Soraka,0.583,2.218,1.777,0.012,-1.364,0.479,-0.455,0.116,-0.222,1.024,-0.455,0.583,-0.767,0.453,-1.649,-0.637,1.180,-0.715,-0.092,0.090,-1.935,-0.222
TahmKench,1.039,1.674,1.932,0.027,-2.275,0.087,0.027,0.543,-0.548,0.126,1.019,0.305,-0.548,-0.191,-0.667,-0.707,0.682,-1.362,0.087,-1.898,0.186,0.464
Taric,1.095,-1.648,1.491,-0.264,-0.536,-1.203,-0.091,0.082,-0.561,-0.042,0.502,0.922,0.255,1.886,-1.277,-0.388,2.084,-0.462,0.131,-1.327,0.255,-0.907
Thresh,1.631,0.792,1.631,-0.442,-0.590,0.348,-1.478,0.545,-0.639,0.348,0.940,-0.491,-0.491,-0.146,-1.429,-0.393,2.125,-0.541,0.644,-0.047,-0.491,-1.824
Velkoz,1.923,0.562,1.133,-1.061,0.409,0.716,-1.193,-0.798,0.168,0.519,-0.118,-0.535,-1.039,0.562,-1.324,-1.061,2.405,0.321,-0.140,-0.447,-1.324,0.321
Zilean,0.334,0.421,1.700,-0.596,0.567,1.497,-0.073,-0.799,-1.933,-0.538,1.875,-1.090,-0.596,1.032,-1.003,0.916,0.189,-1.381,0.131,0.654,-0.538,-0.770
Zyra,-0.085,0.177,1.971,-1.318,0.289,0.326,-0.496,-0.496,-1.991,1.933,0.177,0.962,-0.832,-0.197,0.401,-0.907,0.102,0.364,1.560,-1.617,-0.010,-0.309
