,Alistar,Annie,Bard,Blitzcrank,Brand,Braum,Janna,Karma,Leona,Lulu,Lux,Morgana,Nami,Nautilus,Sona,Soraka,TahmKench,Taric,Thresh,Velkoz,Zilean,Zyra
Alistar,,0.5715,0.4792,0.4844,0.47350000000000003,0.4797,0.4299,0.4679,0.45770000000000005,0.4891,0.48590000000000005,0.439,0.46020000000000005,0.5069,0.4414,0.4533,0.48210000000000003,0.4375,0.4804,0.3918,0.4696,0.4941
Annie,0.4285,,0.5338,0.4567,0.4583,0.4518,0.44630000000000003,0.4324,0.4642,0.5423,0.4807,0.4703,0.43700000000000006,0.44,0.4385,0.39039999999999997,0.45,0.5476,0.4971,0.4545,0.46659999999999996,0.48710000000000003
Bard,0.5207999999999999,0.46619999999999995,,0.44630000000000003,0.4556,0.49329999999999996,0.4665,0.4567,0.4608,0.48329999999999995,0.548,0.5028,0.46020000000000005,0.49529999999999996,0.43310000000000004,0.4075,0.43679999999999997,0.42110000000000003,0.48020000000000007,0.42789999999999995,0.4226,0.4388000000000001
Blitzcrank,0.5156000000000001,0.5433,0.5537,,0.4815,0.4765,0.481,0.5466,0.4966,0.5464,0.5477000000000001,0.5352,0.5111,0.5213,0.5250999999999999,0.47530000000000006,0.5335,0.49219999999999997,0.522,0.528,0.5018,0.5271
Brand,0.5265,0.5417000000000001,0.5444,0.5185,,0.5344,0.4919,0.5084,0.5135000000000001,0.5194,0.5177,0.5172,0.4807,0.5341,0.5139,0.528,0.6493000000000001,0.5029,0.5249,0.46149999999999997,0.4620000000000001,0.4836
Braum,0.5203,0.5482,0.5067,0.5235000000000001,0.4656,,0.47819999999999996,0.5185,0.48419999999999996,0.47329999999999994,0.5466,0.46020000000000005,0.45890000000000003,0.5403,0.4992,0.4575,0.53,0.5305,0.5059,0.4474,0.42979999999999996,0.483
Janna,0.5701,0.5537,0.5335,0.519,0.5081,0.5218,,0.5366,0.5104,0.5408,0.5791,0.5516,0.5129,0.5376,0.5031000000000001,0.49350000000000005,0.5326,0.4849,0.5429999999999999,0.5344,0.484,0.5047
Karma,0.5321,0.5676,0.5433,0.4534,0.49160000000000004,0.48150000000000004,0.46340000000000003,,0.47240000000000004,0.48960000000000004,0.5311,0.5145,0.47,0.4725,0.45829999999999993,0.4707,0.5071,0.4781,0.5024000000000001,0.5162,0.5086999999999999,0.5054
Leona,0.5423,0.5358,0.5392,0.5034000000000001,0.48649999999999993,0.5158,0.48960000000000004,0.5276,,0.5028,0.5445,0.48260000000000003,0.509,0.5282,0.49219999999999997,0.4839,0.5621,0.5042,0.5259,0.47159999999999996,0.5483,0.5453
Lulu,0.5109,0.4577,0.5167,0.4536,0.4806,0.5267000000000001,0.45920000000000005,0.5104,0.4972,,0.4958,0.5105,0.4733,0.5022,0.5065,0.4361999999999999,0.5277000000000001,0.4828,0.506,0.4561,0.5,0.44
Lux,0.5141,0.5193,0.45199999999999996,0.4522999999999999,0.48229999999999995,0.4534,0.42090000000000005,0.4689,0.4555,0.5042,,0.484,0.41759999999999997,0.48200000000000004,0.4618,0.4925999999999999,0.483,0.46099999999999997,0.49450000000000005,0.485,0.4174,0.4867
Morgana,0.5609999999999999,0.5297000000000001,0.4972,0.4648,0.4828,0.5398,0.4484,0.48550000000000004,0.5174,0.48950000000000005,0.516,,0.4794,0.5359,0.4644,0.4527,0.5195000000000001,0.4437,0.5228,0.5038,0.5186,0.4657
Nami,0.5398,0.563,0.5398,0.4889,0.5193,0.5410999999999999,0.4871,0.53,0.491,0.5267,0.5824,0.5206,,0.48850000000000005,0.49149999999999994,0.5045999999999999,0.562,0.4708,0.5234000000000001,0.5274000000000001,0.5016,0.5136000000000001
Nautilus,0.4931,0.56,0.5047,0.4787,0.4659,0.4597,0.46240000000000003,0.5275000000000001,0.4718,0.4978,0.518,0.46409999999999996,0.5115,,0.47240000000000004,0.4585,0.5437,0.4053,0.5158,0.4545,0.44630000000000003,0.4975
