Alistar,Annie,Bard,Blitzcrank,Brand,Braum,Janna,Karma,Leona,Lulu,Lux,Morgana,Nami,Nautilus,Sona,Soraka,TahmKench,Taric,Thresh,Velkoz,Zilean,Zyra
0.000000,5.521995,5.458402,5.592664,5.272767,4.512544,5.257485,5.047402,4.090051,6.596714,5.135737,4.707083,5.123701,3.832678,6.279858,4.826890,4.209539,6.466491,5.264770,4.604491,5.869933,5.682364
5.521995,0.000000,6.224850,5.388945,6.888730,6.080752,6.600547,5.208252,6.209971,5.775616,6.427904,7.022497,6.504179,6.703734,6.720601,5.330546,5.947873,5.841801,6.366847,5.827264,7.147461,4.128445
5.458402,6.224850,0.000000,5.393083,6.285057,5.247353,2.787593,5.296350,5.801722,5.008755,5.333578,4.264595,4.765039,5.443162,6.125112,5.192372,4.438906,5.254181,5.086734,5.509432,5.105161,5.267028
5.592664,5.388945,5.393083,0.000000,5.859513,5.004267,3.964590,3.980368,5.163122,5.630557,5.291911,5.766449,4.495765,3.964119,4.733508,4.504441,4.406863,5.676823,4.954036,5.805341,6.522129,5.136473
5.272767,6.888730,6.285057,5.859513,0.000000,4.458904,5.600028,6.168029,5.085933,5.028707,5.398194,5.643000,5.012273,4.779478,4.780322,4.264291,3.873778,4.864648,3.976859,3.622286,5.710569,5.737986
4.512544,6.080752,5.247353,5.004267,4.458904,0.000000,4.904785,5.914342,4.831463,5.641215,5.285038,5.579039,5.526014,4.723942,5.287791,4.948374,4.964544,5.625402,4.930898,4.817777,5.607693,6.278460
5.257485,6.600547,2.787593,3.964590,5.600028,4.904785,0.000000,4.222204,5.676820,5.555021,3.935893,3.983188,3.472238,4.207461,4.903203,4.181410,4.558694,5.398805,3.972896,5.099303,5.031931,5.784750
5.047402,5.208252,5.296350,3.980368,6.168029,5.914342,4.222204,0.000000,4.774099,6.153751,4.804852,4.570679,3.232984,4.624862,3.858390,4.500719,4.357360,6.360086,4.197255,4.728194,5.114154,5.362732
4.090051,6.209971,5.801722,5.163122,5.085933,4.831463,5.676820,4.774099,0.000000,5.254255,6.430544,4.389314,4.764199,4.398021,5.337853,5.642419,3.470816,5.032777,4.575152,4.457517,5.459077,5.508118
6.596714,5.775616,5.008755,5.630557,5.028707,5.641215,5.555021,6.153751,5.254255,0.000000,6.852030,4.404431,5.688903,6.236924,5.111320,5.982753,5.679141,4.743877,4.613159,5.057033,6.363392,4.306564
5.135737,6.427904,5.333578,5.291911,5.398194,5.285038,3.935893,4.804852,6.430544,6.852030,0.000000,5.478393,4.308939,5.342079,5.367350,4.537766,6.230842,6.907961,5.286250,4.665820,5.690720,5.849438
4.707083,7.022497,4.264595,5.766449,5.643000,5.579039,3.983188,4.570679,4.389314,4.404431,5.478393,0.000000,4.508756,5.117789,5.064563,5.117319,5.280687,5.478379,4.078512,4.432503,5.081561,6.247863
5.123701,6.504179,4.765039,4.495765,5.012273,5.526014,3.472238,3.232984,4.764199,5.688903,4.308939,4.508756,0.000000,3.404773,4.699984,4.617369,4.484895,6.069187,3.458503,4.689166,4.396503,5.646568
3.832678,6.703734,5.443162,3.964119,4.779478,4.723942,4.207461,4.624862,4.398021,6.236924,5.342079,5.117789,3.404773,0.000000,5.336271,4.440310,3.949198,5.278682,4.553483,5.457596,5.810556,6.111994
6.279858,6.720601,6.125112,4.733508,4.780322,5.287791,4.903203,3.858390,5.337853,5.111320,5.367350,5.064563,4.699984,5.336271,0.000000,4.502572,5.016997,5.080304,3.324411,4.942726,5.506764,5.742596
4.826890,5.330546,5.192372,4.504441,4.264291,4.948374,4.181410,4.500719,5.642419,5.982753,4.537766,5.117319,4.617369,4.440310,4.502572,0.000000,4.147313,5.899851,4.003913,4.117241,5.251732,5.681095
4.209539,5.947873,4.438906,4.406863,3.873778,4.964544,4.558694,4.357360,3.470816,5.679141,6.230842,5.280687,4.484895,3.949198,5.016997,4.147313,0.000000,5.153236,4.369305,5.097192,5.814460,5.282393
6.466491,5.841801,5.254181,5.676823,4.864648,5.625402,5.398805,6.360086,5.032777,4.743877,6.907961,5.478379,6.069187,5.278682,5.080304,5.899851,5.153236,0.000000,4.725314,5.077414,5.930516,5.666059
5.264770,6.366847,5.086734,4.954036,3.976859,4.930898,3.972896,4.197255,4.575152,4.613159,5.286250,4.078512,3.458503,4.553483,3.324411,4.003913,4.369305,4.725314,0.000000,3.707120,4.771643,5.222597
4.604491,5.827264,5.509432,5.805341,3.622286,4.817777,5.099303,4.728194,4.457517,5.057033,4.665820,4.432503,4.689166,5.457596,4.942726,4.117241,5.097192,5.077414,3.707120,0.000000,5.482415,5.466072
5.869933,7.147461,5.105161,6.522129,5.710569,5.607693,5.031931,5.114154,5.459077,6.363392,5.690720,5.081561,4.396503,5.810556,5.506764,5.251732,5.814460,5.930516,4.771643,5.482415,0.000000,5.898740
5.682364,4.128445,5.267028,5.136473,5.737986,6.278460,5.784750,5.362732,5.508118,4.306564,5.849438,6.247863,5.646568,6.111994,5.742596,5.681095,5.282393,5.666059,5.222597,5.466072,5.898740,0.000000
